country_ISO_code,population,ischaemic_heart_disease,stroke,chronic_obstructive_pulmonary_disease,lower_respiratory_infections,neonatal_conditions,trachae_lung_bronchus_cancer,alzheimers_disease_dementia,diahorreal_diseases,diabetes_mellitus,kidney_diseases,,,,,,,,,,,,,
PER,32510,40.0,23.6,7.2,44.2,5.2,9.5,16.2,3.3,13.3,21.3,,,,,,,,,,,,,
PHL,108117,192.1,127.7,51.3,146.9,14.9,13.5,3.1,6.4,44.4,52.0,,,,,,,,,,,,,
POL,37888,125.4,45.9,15.6,22.6,2.5,34.9,3.7,0.9,10.7,4.7,,,,,,,,,,,,,
PRT,10226,39.3,41.5,11.7,18.4,2.7,19.2,17.2,0.7,10.8,7.4,,,,,,,,,,,,,
QAT,2832,227.6,35.5,16.9,23.5,3.6,10.5,22.7,1.0,112.6,43.2,,,,,,,,,,,,,
KOR,51225,27.8,31.3,8.1,25.2,2.5,20.9,11.0,0.9,6.8,9.9,,,,,,,,,,,,,
MDA,4043,245.8,119.2,12.9,21.4,8.4,18.7,2.9,0.1,6.9,5.4,,,,,,,,,,,,,
ROU,19365,153.8,122.4,16.9,26.3,2.7,28.3,5.4,0.5,5.4,11.9,,,,,,,,,,,,,
RUS,145872,204.5,143.1,13.5,15.2,2.7,22.2,15.1,0.2,7.1,4.7,,,,,,,,,,,,,
RWA,12627,77.8,112.6,33.5,74.7,17.2,4.5,19.5,39.9,36.6,23.2,,,,,,,,,,,,,
LCA,183,60.2,86.5,21.3,27.4,17.2,8.3,17.1,1.9,59.1,34.2,,,,,,,,,,,,,
VCT,111,93.7,75.5,17.7,26.7,7.6,5.9,1.2,1.4,46.0,16.5,,,,,,,,,,,,,
WSM,197,189.8,120.1,47.5,39.3,5.9,21.6,19.1,8.4,82.6,39.8,,,,,,,,,,,,,
STP,215,133.6,94.9,50.7,99.5,15.2,13.5,17.7,12.5,14.8,46.7,,,,,,,,,,,,,
SAU,34269,201.0,95.1,17.9,30.9,4.0,4.3,20.5,2.5,20.2,50.6,,,,,,,,,,,,,
SEN,16296,107.2,86.6,23.0,70.8,23.4,2.6,20.9,51.3,37.8,32.1,,,,,,,,,,,,,
SRB,8772,116.5,89.4,20.6,10.5,4.0,40.2,13.6,0.9,19.2,22.1,,,,,,,,,,,,,
SYC,98,97.1,76.5,21.5,70.9,8.0,17.2,17.2,5.8,24.1,40.2,,,,,,,,,,,,,
SLE,7813,139.4,110.3,27.4,131.4,34.2,2.4,19.3,91.1,38.0,30.2,,,,,,,,,,,,,
SGP,5804,60.7,19.6,4.5,61.1,1.0,17.6,0.4,0.3,1.3,12.0,,,,,,,,,,,,,
SVK,5457,99.6,48.0,10.9,20.2,3.0,25.9,38.1,0.3,7.4,8.1,,,,,,,,,,,,,
SVN,2079,57.5,36.0,11.0,5.8,1.7,27.4,5.8,0.1,6.0,2.3,,,,,,,,,,,,,
SLB,670,285.9,207.4,67.9,97.7,9.1,9.7,12.7,64.2,91.1,16.5,,,,,,,,,,,,,
SOM,15443,129.7,173.6,44.6,155.6,33.6,3.7,18.0,128.8,48.2,31.8,,,,,,,,,,,,,
ZAF,58558,83.8,83.0,31.4,83.2,14.3,18.3,16.4,33.4,74.7,35.7,,,,,,,,,,,,,
SSD,11062,67.2,81.7,20.4,91.8,34.9,3.3,16.4,89.9,28.1,22.0,,,,,,,,,,,,,
ESP,46737,34.9,21.2,12.3,8.0,2.2,22.8,21.5,0.6,5.0,5.5,,,,,,,,,,,,,
LKA,21324,101.3,32.4,37.0,20.4,4.0,6.6,27.6,2.5,47.3,26.2,,,,,,,,,,,,,
SDN,42813,231.3,102.1,23.4,30.7,30.1,2.4,17.5,13.2,15.2,24.8,,,,,,,,,,,,,
SUR,581,123.3,138.5,18.0,32.8,12.8,18.8,23.5,6.0,53.8,52.5,,,,,,,,,,,,,
SWE,10036,51.0,21.9,14.8,8.3,1.6,16.1,31.0,0.9,6.9,5.1,,,,,,,,,,,,,
CHE,8591,41.5,15.5,12.2,7.0,2.3,19.5,23.8,0.7,4.4,4.6,,,,,,,,,,,,,
SYR,17070,279.5,75.9,16.0,21.7,10.4,18.9,17.1,10.4,15.0,22.2,,,,,,,,,,,,,
TJK,9321,389.8,176.6,30.0,37.9,18.0,5.8,17.7,6.0,33.5,8.7,,,,,,,,,,,,,
THA,69626,46.8,57.3,17.6,29.7,5.0,21.3,19.3,7.0,17.8,25.1,,,,,,,,,,,,,
TLS,1293,126.6,139.3,44.6,64.5,19.1,12.0,16.5,27.4,22.5,26.5,,,,,,,,,,,,,
TGO,8082,143.2,131.6,29.0,122.5,26.2,2.1,19.8,61.2,37.4,33.6,,,,,,,,,,,,,
TON,104,113.7,67.0,34.9,36.9,8.0,28.5,18.0,4.2,96.6,37.1,,,,,,,,,,,,,
TTO,1395,81.6,56.0,7.2,12.7,11.0,11.7,12.3,1.2,69.7,24.7,,,,,,,,,,,,,
TUN,11695,164.6,72.1,14.0,15.3,12.4,14.4,19.9,1.6,14.1,20.6,,,,,,,,,,,,,
TUR,83430,95.9,46.6,28.0,14.4,6.2,39.7,19.1,0.9,20.1,19.1,,,,,,,,,,,,,
TKM,5942,278.7,145.3,8.7,17.7,26.0,9.5,14.2,5.1,16.1,14.4,,,,,,,,,,,,,
UGA,44270,82.3,115.2,28.7,82.0,20.1,3.2,19.4,46.0,40.3,24.6,,,,,,,,,,,,,
UKR,43994,305.5,112.2,11.0,10.9,4.8,19.8,13.7,0.7,3.0,2.7,,,,,,,,,,,,,
ARE,9771,144.2,79.8,25.5,39.1,4.7,6.3,17.0,3.1,47.8,40.2,,,,,,,,,,,,,
